gene_id,SRR10720198,SRR10720199,SRR10720203,SRR10720205
gene-YBR012W-B,41,51,73,62
gene-YBR013C,55,58,48,57
gene-YBR014C,649,580,799,719
gene-YBR015C,1345,1300,1399,1137
gene-YBR016W,3736,3359,3752,3499
gene-YBR017C,2338,2314,2445,2207
gene-YBR018C,23,16,24,16
gene-YBR019C,14,9,10,14
gene-YBR020W,52,74,47,43
gene-YBR021W,75,97,77,50
gene-YBR022W,280,223,183,196
gene-YBR023C,1328,1218,1772,1513
gene-YBR024W,517,551,465,483
gene-YBR025C,897,912,1409,1378
gene-YBR026C,322,313,348,331
gene-YBR027C,1,2,1,0
gene-YBR028C,1744,1734,1668,1491
gene-YBR029C,1550,1418,996,887
gene-YBR030W,778,709,612,587
gene-YBR031W,1059,1175,1180,1010
gene-YBR032W,0,0,0,0
gene-YBR033W,145,120,145,127
gene-YBR034C,1364,1462,1219,1022
gene-YBR035C,1028,963,945,916
gene-YBR036C,1579,1528,1590,1418
gene-YBR037C,681,659,680,669
gene-YBR038W,3185,3511,3101,2662
gene-YBR039W,572,585,617,570
gene-YBR040W,1,1,2,0
gene-YBR041W,1066,1049,1356,1180
gene-YBR042C,165,188,269,213
gene-YBR043C,1257,1373,1248,1211
gene-YBR044C,857,875,951,852
gene-YBR045C,134,141,144,126
gene-YBR046C,1341,1182,2148,2044
gene-YBR047W,247,187,324,341
gene-YBR048W,1146,1296,1427,1304
gene-YBR049C,3005,2914,3471,3045
gene-YBR050C,115,141,47,45
gene-YBR052C,829,739,772,834
gene-YBR053C,433,487,520,476
gene-YBR054W,123,139,148,126
gene-YBR055C,1419,1225,1318,1241
gene-YBR056W,460,452,504,450
gene-YBR056W-A,39,46,47,56
gene-YBR057C,1238,1282,1290,1149
gene-YBR058C,1287,1281,1350,1061
gene-YBR058C-A,368,270,311,349
gene-YBR059C,4657,4622,5200,4268
gene-YBR060C,1408,1169,1367,1339
gene-YBR061C,466,408,314,330
gene-YBR062C,227,185,225,194
gene-YBR063C,268,293,366,297
gene-YBR065C,798,910,867,789
gene-YBR066C,1443,1433,714,763
gene-YBR067C,2067,2400,1811,1986
gene-YBR068C,8862,10075,9855,8539
gene-YBR069C,2094,2180,1610,1352
gene-YBR070C,104,75,118,123
gene-YBR071W,1644,1566,2603,2346
gene-YBR072C-A,16,13,16,28
gene-YBR072W,104,56,197,143
gene-YBR073W,3321,3109,4576,3888
gene-YBR074W,1315,1111,1279,1254
gene-YBR076W,4,1,6,7
gene-YBR077C,354,345,335,348
gene-YBR078W,2806,2417,3110,2641
gene-YBR079C,5344,5282,4969,4438
gene-YBR080C,1230,1071,1404,1231
gene-YBR081C,4907,4452,5451,4825
gene-YBR082C,4042,3461,6510,6045
gene-YBR083W,1610,1553,1833,1703
gene-YBR084C-A,1549,1897,1760,2018
gene-YBR084W,1758,1733,1703,1499
gene-YBR085C-A,635,485,845,839
gene-YBR085W,73,105,72,69
gene-YBR086C,2788,3145,3156,2660
gene-YBR087W,171,138,181,193
gene-YBR088C,635,519,919,802
gene-YBR089C-A,41,34,70,45
gene-YBR090C,203,220,253,250
gene-YBR091C,89,158,107,127
gene-YBR092C,639,644,557,422
gene-YBR093C,1431,1629,280,228
gene-YBR094W,635,589,633,484
gene-YBR095C,1262,1088,1160,1170
gene-YBR096W,385,331,441,459
gene-YBR097W,782,823,1067,887
gene-YBR098W,481,548,624,504
gene-YBR101C,2810,2488,5770,5634
gene-YBR102C,1687,1455,1847,1623
gene-YBR103W,1521,1514,1522,1428
gene-YBR104W,1169,1181,1129,1025
gene-YBR105C,1666,1602,2157,1811
gene-YBR106W,881,786,1030,1009
gene-YBR107C,369,363,339,349
gene-YBR108W,3439,3712,3914,3401
gene-YBR109C,1028,947,986,997
gene-YBR110W,812,702,907,812
gene-YBR111C,698,661,564,562
gene-YBR111W-A,214,184,179,171
